Produit,Allergène,Score,Lien,pix,Description,composition
FLEURY MICHON     gratin de chou fleur au jambon et à l'emmental 2x280g,"ble, oeufs, lait",B,https://www.auchan.fr/fleury-michon-gratin-de-chou-fleur-au-jambon-et-a-l-emmental/pr-C1205831,2766,des fleurettes de choux fleur recoltees en bretagne accompagnees de lamelles de jambon fleury michon et  une onctueuse sauce bechamel legerement assaisonnee avec de la muscade  le tout gratine avec de  emmental ,na
JULHES     Boudin et purée de pomme de terre 300g1 portion,"lait, creme, beurre",na,https://www.auchan.fr/julhes-boudin-et-puree-de-pomme-de-terre/pr-C1205231,2767,na,na
LE BIO DES PRODUCTEURS     Saucisse fumée cuisinée aux lentilles bio 280g,na,na,https://www.auchan.fr/le-bio-des-producteurs-saucisse-fumee-cuisinee-aux-lentilles-bio/pr-C1336077,2768,na,na
MARIE     Saucisse de Toulouse grillée sans couverts 300g1 portion,"creme, beurre, emmental ",C,https://www.auchan.fr/marie-saucisse-de-toulouse-grillee-sans-couverts/pr-C1220872,2769,"marie selectionne une saucisse de toulouse faite avec de la viande de porc ne, eleve et prepare en france  la tradition est au coeur de notre savoir faire, marie cuisine soigneusement sa puree avec de la creme fraiche, du beurre et de l’emmental ",na
FLEURY MICHON     Rougail saucisses et riz créoles 280g,na,B,https://www.auchan.fr/fleury-michon-rougail-saucisses-et-riz-creoles/pr-C1205147,2770,na,na
MARIE     Saucisse de Toulouse grillée et purée de pomme de terre 2x290g2 portions,"creme, beurre, emmental",C,https://www.auchan.fr/marie-saucisse-de-toulouse-grillee-et-puree-de-pomme-de-terre/pr-C1216278,2771,"marie selectionne une saucisse de toulouse faite avec de la viande de porc ne, eleve et prepare en france  la tradition est au coeur de notre savoir faire, marie cuisine soigneusement sa puree avec de la creme fraiche, du beurre et de l’emmental ",na
MARIE     Petites gambas et tagliatelles au pesto sans couverts 280g1 portion,"ble, oeuf, gambas, crevettes, sulfites, grana padano, lait, parmesan ",A,https://www.auchan.fr/marie-petites-gambas-et-tagliatelles-au-pesto-sans-couverts/pr-C1220428,2772,"parce que bien cuisiner demande de  exigence, marie s’engage chaque jour a vous apporter le meilleur  pour vous, marie selectionne ses   avec soin, les cuisine simplement sans ajouter  additif et apporte sa touche personnelle pour des recettes hautes en couleur et saveur  ",na
29 WEIGHT WATCHERS     Petites Saint-Jacques et torti sans couverts 300g1 portion,"ble, noix de st jacques, creme, lait,  poisson, crustaces, mollusques",A,https://www.auchan.fr/weight-watchers-petites-saint-jacques-et-torti-sans-couverts/pr-C1220634,2773,"des noix de st jacques cuisinees avec de la creme fraiche legere, de  aneth et une pointe de safran ",na
10 FLEURY MICHON     Poulet tandoori semoule aux petits légumes 280g,"ble, lait",B,https://www.auchan.fr/fleury-michon-poulet-tandoori-semoule-aux-petits-legumes/pr-C1201681,2774,na,na
AUCHAN     Merlu avec légumes grillés et petites pâtes 300g1 portion,"presence de   anhydride sulfureux et sulfites en concentrations de plus de    mg/kg ou    mg/litre expr  en so,ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose,poissons et produits a base de poissonstraces de   oeufs et produits a base  oeufs",A,https://www.auchan.fr/auchan-merlu-avec-legumes-grilles-et-petites-pates/pr-C1202747,2775,na,na
MARIE     Poisson à l'Andalouse et riz safrané aux petits légumes sans couverts 300g1 portion,"poisson, merlu, ble, ",A,https://www.auchan.fr/marie-poisson-a-l-andalouse-et-riz-safrane-aux-petits-legumes-sans-couverts/pr-C1218335,2776,"parce que bien cuisiner demande de  exigence, marie s'engage chaque jour a vous apporter le meilleur pour vous, marie selectionne ses   avec soin, les cuisine simplement sans ajouter  additif et apporte sa touche personnelle pour des recettes hautes en couleur et en saveur ",na
HARI&CO     Dahl de lentilles corail coco et épices bio 280g1 portion,na,B,https://www.auchan.fr/hari-co-dahl-de-lentilles-corail-coco-et-epices-bio/pr-C1498937,2777,na,na
CLAUDE TRAITEUR     L'aïoli du pêcheur 800g,"mollusque,moutarde,oeuf,crustace",na,https://www.auchan.fr/claude-traiteur-l-aioli-du-pecheur/pr-C1426087,2778,maitre artisan,na
