Produit,Allergène,Score,Lien,pix,Description,composition
24 ELLE & VIRE     Beurre tendre doux 250g,lait,na,https://www.auchan.fr/elle-vire-beurre-tendre-doux/pr-C1160647,1,"nos maitres beurriers normands ont invente le premier beurre tendre elle   vire en       un veritable beurre au gout frais, sa texture est delicieusement tendre des la sortie du refrigerateur  il s’utilise parfaitement en tartine, en cuisson et meme en patisserie, pour le plaisir de toute la famille ! il ne contient aucun additif ","    creme  origine france, matiere grasse laitiere, ferments lactiques"
21 ELLE & VIRE     Mini-beurre doux gastronomique 200g16 portions,lait,na,https://www.auchan.fr/elle-vire-mini-beurre-doux-gastronomique/pr-C1177993,2,na,"    creme  origine france, matiere grasse laitiere, ferments lactiques "
12 ELLE & VIRE     Beurre roulé doux de Condé 250g,lait,na,https://www.auchan.fr/elle-vire-beurre-roule-doux-de-conde/pr-C1176053,3,na,    beurre  lait   origine normandie 
14 BRIDELICE     Crème fouettée légère en bombe 20%MG UHT 250g,lait et ses derives,na,https://www.auchan.fr/bridelice-creme-fouettee-legere-en-bombe-20-mg-uht/pr-C1161752,4,na,na
ELLE & VIRE     Beurre tendre demi-sel barquette 2x250g,lait,na,https://www.auchan.fr/elle-vire-beurre-tendre-demi-sel-barquette/pr-C1176770,5,"le beurre tendre d’elle   vire est un beurre fabrique en normandie et facile a tartiner tout au long de l’annee  nos maitres beurriers travaillent chaque jour a vous offrir le meilleur, avec un produit riche en saveurs et une texture delicieusement tendre  il deviendra le compagnon ideal de vos tartines  vous pouvez egalement beneficier de ses avantages en cuisine, pour vos patisseries ou pour la cuisson de vos aliments  bien sur, il ne contient aucun additif ","    creme  origine france, matiere grasse laitiere, sel    , ferments lactiques"
AUCHAN     Beurre demi-sel 2x250g,presence de   lait et produits a base de lait  y compris lactose ,E,https://www.auchan.fr/auchan-beurre-demi-sel/pr-C1398933,6,na,na
1 L OEUF DE NOS VILLAGES     Œufs frais plein air calibre moyen 12 oeufs,oeufs,A,https://www.auchan.fr/l-oeuf-de-nos-villages-oeufs-frais-plein-air-calibre-moyen/pr-C1164722,7,na,na
2 AUCHAN SOLIDAIRES BIO     Lait demi-écrémé UHT 6x1l,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-solidaires-bio-lait-demi-ecreme-uht/pr-C1306935,8,na,na
5 AUCHAN SOLIDAIRES     Lait demi-écrémé équitable UHT 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-solidaires-lait-demi-ecreme-equitable-uht/pr-C1170534,9,na,na
45 CANDIA     Grandlait lait demi-écrémé bio UHT 6x1L,lait,A,https://www.auchan.fr/candia-grandlait-lait-demi-ecreme-bio-uht/pr-C1176891,10,na,na
58 AUCHAN     Lait demi-écrémé UHT Hauts-De-France 6x1L,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-uht-hauts-de-france/pr-C1170325,11,na,na
12 AUCHAN     Lait demi-écrémé UHT Hauts-de-France 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-uht-hauts-de-france/pr-C1170327,12,na,na
49 LACTEL     Lait demi-écrémé bio UHT 6x1L,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1178021,13,na,na
LACTEL     Lait demi-écrémé vitamine D 10x1l,lait de vache,na,https://www.auchan.fr/lactel-lait-demi-ecreme-vitamine-d/pr-C1424962,14,na,na
CANDIA     Viva lait UHT vitaminé 1L,lait,A,https://www.auchan.fr/candia-viva-lait-uht-vitamine/pr-C1177792,15,na,na
1 CANDIA     Viva lait vitaminé UHT 6x1L,lait,A,https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177791,16,na,na
> 200 AUCHAN     Lait demi-écrémé UHT 6x1L,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-uht/pr-C1176975,17,na,na
73 LACTEL     Lait demi-écrémé bio stérilisé UHT 8x1l,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-bio-sterilise-uht/pr-C1177205,18,na,na
60 LACTEL     Lait demi-écrémé enrichi en vitamine D stérilisé UHT 8x1l,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-enrichi-en-vitamine-d-sterilise-uht/pr-C1177341,19,na,"            lait demi ecreme, vitamine d"
133 LACTEL     Lait demi-écrémé UHT 6x1L,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-uht/pr-C1178046,20,na,na
103 CANDIA     Grand Lait demi écrémé stérilisé U.H.T. 8x1 litre,lait,A,https://www.auchan.fr/candia-grand-lait-demi-ecreme-sterilise-u-h-t/pr-C1176616,21,na,na
111 CANDIA     Viva lait demi-écrémé vitaminé UHT 8x1L,lait,A,https://www.auchan.fr/candia-viva-lait-demi-ecreme-vitamine-uht/pr-C1176807,22,na,na
CANDIA     Lait demi-écrémé frais de montagne 1l,lait,na,https://www.auchan.fr/candia-lait-demi-ecreme-frais-de-montagne/pr-C1171071,23,na,na
14 CANDIA     Viva lait vitaminé UHT 6x1L,lait,A,https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177788,24,na,na
3 AUCHAN     Lait demi-écrémé équitable UHT filière responsable 1L,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-lait-demi-ecreme-equitable-uht-filiere-responsable/pr-C1170542,25,na,na
6 AUCHAN     Lait demi-écrémé 50cl,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-lait-demi-ecreme/pr-C1178130,26,na,na
4 AUCHAN     Lait demi-écrémé des campagnes Françaises en bouteilles 8x1l,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-des-campagnes-francaises-en-bouteilles/pr-C1170334,27,na,na
17 AUCHAN SOLIDAIRES BIO     Lait demi-écrémé équitable UHT 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-solidaires-bio-lait-demi-ecreme-equitable-uht/pr-C1170537,28,na,na
AUCHAN     Lait demi écrémé facile à digérer sans lactose 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-facile-a-digerer-sans-lactose/pr-C1454327,29,na,na
YOP     Mini yaourt à boire à la fraise 8x100g,lait,B,https://www.auchan.fr/yop-mini-yaourt-a-boire-a-la-fraise/pr-C1365072,30,na,na
15 CALIN     Extra - fromage blanc 0% MG 850g,lait,A,https://www.auchan.fr/calin-extra-fromage-blanc-0-mg/pr-C1174313,31,na,na
7 AUCHAN     Skyr nature 450g,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-skyr-nature/pr-C1170786,32,na,na
10 STARBUCKS     Cappuccino - Boisson lactée au café arabica 220ml,lait,na,https://www.auchan.fr/starbucks-cappuccino-boisson-lactee-au-cafe-arabica/pr-C1175668,33,na,na
2 STARBUCKS     Caffè latte - Boisson lactée au café arabica 220ml,lait,na,https://www.auchan.fr/starbucks-caffe-latte-boisson-lactee-au-cafe-arabica/pr-C1176134,34,na,na
7 STARBUCKS     Boisson lactée au café saveur caramel 220ml,lait,na,https://www.auchan.fr/starbucks-boisson-lactee-au-cafe-saveur-caramel/pr-C1176137,35,na,na
SIGGI'S     Skyr à l'islandaise myrtille 2% MG 2x140g,lait,na,https://www.auchan.fr/siggi-s-skyr-a-l-islandaise-myrtille-2-mg/pr-C1171606,36,na,"    lait pasteurise a   de matiere grasse   , myrtilles   , sucre de canne   , jus de citron concentre, amidon de mais, ferments lactiques "
LES 2 VACHES     Skyr bio saveur vanille 0% MG 480g,presence   lait,na,https://www.auchan.fr/les-2-vaches-skyr-bio-saveur-vanille-0-mg/pr-C1513342,37,na,na
3 AUCHAN     Skyr à la myrtille 450g,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-skyr-a-la-myrtille/pr-C1170785,38,na,na
YOPLAIT     Skyr sur lit de myrtilles recette islandaise 4x100g,lait,A,https://www.auchan.fr/yoplait-skyr-sur-lit-de-myrtilles-recette-islandaise/pr-C1313909,39,na,na
LIGHT&FREE     Skyr nature allégé 0% M.G. 480g,presence   lait,A,https://www.auchan.fr/light-free-skyr-nature-allege-0-m-g/pr-C1171155,40,"le skyr nature light free est une recette inspiree  islande  ce skyr a une texture ferme et onctueuse  il est riche en proteines et avec    de matieres grasses  ce skyr nature est fabrique dans notre laiterie de ferrieres en bray       a base de bon lait francais et de ferments  avec des cereales, des fruits ou du miel, ce skyr sera votre allie pour un petit dejeuner, un dessert ou un encas reussi  il peut egalement etre utilise comme ingredient de base pour certaines recettes sucrees ou salees  un format en pot de    g pour plus de plaisir!",na
DANONE     Du monde - Skyr nature 0% MG  480g,presence   lait,A,https://www.auchan.fr/danone-du-monde-skyr-nature-0-mg/pr-C1170891,41,"le skyr nature danone du monde est une recette inspiree  islande, naturellement riche en proteines et avec    de matieres grasses  ce skyr nature est fabrique dans notre laiterie de ferrieres en bray      a base    simples, du bon lait francais et des ferments  la texture consistante et onctueuse fait de ce skyr un allie du petit dejeuner avec des cereales, des fruits, du miel mais aussi un tres bon encas ou un dessert! il peut egalement etre utilise comme   de base pour certaines recettes salees comme le yaourt nature de danone il est nutri score a!",na
YOPLAIT     Skyr nature 0% recette islandaise 4x100g,lait,A,https://www.auchan.fr/yoplait-skyr-nature-0-recette-islandaise/pr-C1313908,42,na,na
LIGHT&FREE     Skyr nature riche en protéines allégé 2x145g,presence   lait,A,https://www.auchan.fr/light-free-skyr-nature-riche-en-proteines-allege/pr-C1425999,43,"le skyr nature light free est une recette inspiree  islande  en alternative a un yaourt allege ou un yaourt  , ce skyr a une texture ferme et onctueuse  il est riche en proteines et avec    de matieres grasses  ce skyr nature est fabrique dans notre laiterie de ferrieres en bray       a base de bon lait francais et de ferments  avec des cereales, des fruits ou du miel, ce skyr sera votre allie pour un petit dejeuner, un dessert ou un encas reussi  il peut egalement etre utilise comme ingredient de base pour certaines recettes sucrees ou salees comme un yaourt    il est nutri score a!",na
14 DANONE     Du monde - Skyr nature 0% MG  2x140g,presence   lait,A,https://www.auchan.fr/danone-du-monde-skyr-nature-0-mg/pr-C1170560,44,decouvrez ce que le monde a de bon ​venez decouvrir la gamme de danone du monde qui vous emmenera de  islande en passant par la grece ​,na
DANONE     Skyr nature 0% MG 4x100g,presence   lait,A,https://www.auchan.fr/danone-skyr-nature-0-mg/pr-C1466072,45,na,na
DANONE     Du monde - Skyr nature 0% MG 825g,presence   lait,A,https://www.auchan.fr/danone-du-monde-skyr-nature-0-mg/pr-C1388918,46,"le skyr nature danone du monde est une recette inspiree  islande, naturellement riche en proteines et avec    de matieres grasses  ce skyr nature est fabrique dans notre laiterie de ferrieres en bray      a base    simples, du bon lait francais et des ferments  la texture consistante et onctueuse fait de ce skyr un allie du petit dejeuner avec des cereales, des fruits, du miel mais aussi un tres bon encas ou un dessert! il peut egalement etre utilise comme   de base pour certaines recettes salees comme le yaourt nature de danone il est nutri score a!",na
YOPLAIT     Skyr à la vanille 450g4-5 parts,lait,A,https://www.auchan.fr/yoplait-skyr-a-la-vanille/pr-C1461696,47,na,na
LIGHT&FREE     Skyr à la vanille de Madagascar allégé  0% MG 145g,presence   lait,A,https://www.auchan.fr/light-free-skyr-a-la-vanille-de-madagascar-allege-0-mg/pr-C1468939,48,na,na
ALPRO     Skyr dessert végétal nature au soja sans sucres 400g,"presence   contient   soja peut contenir des traces de fruits a coque  pas d’arachides   sans produits laitiers, ni gluten ",A,https://www.auchan.fr/alpro-skyr-dessert-vegetal-nature-au-soja-sans-sucres/pr-C1313285,49,"le skyr style alpro est un dessert vegetal a base de soja, sans lactose et riche en proteines  naturellement faible en acides gras satures et sans aucun sucres, cette alternative au yaourt allie les atouts de la recette  un skyr nature a ceux du vegetal  sa texture epaisse offre un plaisir onctueux a savourer au petit dejeuner seul ou accompagne de cereales, de fruits ou de miel ou en encas ",na
PANIER DE YOPLAIT     Yaourts aux fruits jaunes 0%mg 8x130g,lait,A,https://www.auchan.fr/panier-de-yoplait-yaourts-aux-fruits-jaunes-0-mg/pr-C1365971,50,na,na
PANIER DE YOPLAIT     Yaourt aux fruits rouges 0%mg 8x130g,lait,A,https://www.auchan.fr/panier-de-yoplait-yaourt-aux-fruits-rouges-0-mg/pr-C1365969,51,na,na
HIPRO     Yaourt protéiné saveur vanille 0% mg 480g,presence   lait,A,https://www.auchan.fr/hipro-yaourt-proteine-saveur-vanille-0-mg/pr-C1405558,52,"hipro vanille pot arrive en grand format! il est le nouvel allie de la nutrition sportive, avec ses   g de proteines par pot et    de matieres grasses  les proteines  hipro contribuent au maintient de la masse musculaire  une specialite laitiere au bon gout de vanille et a la texture consistante et onctueuse, pour le petit dejeuner ou  encas des sportifs, le tout nutri score a!vous trouverez hipro vanille au rayon des yaourts aux fruits et yaourts alleges de votre magasin!",na
HIPRO     Yaourt protéiné 0% MG saveur citron 2x160g,presence   lait,A,https://www.auchan.fr/hipro-yaourt-proteine-0-mg-saveur-citron/pr-C1171245,53,"hipro citron est le nouvel allie de la nutrition sportive, avec ses   g de proteines par pot et    de matieres grasses  les proteines  hipro contribuent au maintient de la masse musculaire  une specialite laitiere au bon gout de citron et a la texture consistante et onctueuse, pour le petit dejeuner ou  encas des sportifs, le tout nutri score a!vous trouverez hipro citron au rayon des yaourts aux fruits et yaourts alleges de votre magasin!",na
HIPRO     Boisson protéinée 0% MG saveur vanille cookie 300g,presence   lait peut contenir   cereales contenant du gluten,A,https://www.auchan.fr/hipro-boisson-proteinee-0-mg-saveur-vanille-cookie/pr-C1171248,54,na,na
ACTIVIA     Yaourt bifidus muesli amande quinoa et graines de chia 170g,"presence   lait, fruits a coque  amandes, cereales contenant du gluten  ble,orge,seigle, avoine  peut contenir   fruits a coque  noisettes, noix de cajou, noix de pecan, oeuf, soja, sesame, cereale contenant du gluten  epeautre ",A,https://www.auchan.fr/activia-yaourt-bifidus-muesli-amande-quinoa-et-graines-de-chia/pr-C1164290,55,na,na
ACTIVIA     Probiotiques - Yaourt aux fruits graines de chia poire et figue sans sucres 4x115g,"presence   contient   lait peut contenir   cereales contenant du gluten, fruits a coques ",A,https://www.auchan.fr/activia-probiotiques-yaourt-aux-fruits-graines-de-chia-poire-et-figue-sans-sucres/pr-C1178678,56,"activia fruits poire, figue et graines de chia est une recette aux fruits sans sucres ajoutes    cet activia est le mix de bons fruits et de delicieuses graines completes, le tout source de fibres  un activia    origine naturelle au bifidus avec des milliards de ferments dont les probiotiques   et plein de bons fruits  contient les sucres naturellement presents dans les fruits et le lait   activia contient les ferments du yaourt   les probiotiques  ils vous aident a la digestion du lactose de votre activia en cas de difficulte a le digerer ",na
ACTIVIA     Yaourt bifidus goût cerise 4x125g,presence   lait,B,https://www.auchan.fr/activia-yaourt-bifidus-gout-cerise/pr-C1158029,57,na,na
"ACTIVIA     Probiotiques - Yaourt citron, vanille, coco 12x125g",presence   lait,B,https://www.auchan.fr/activia-probiotiques-yaourt-citron-vanille-coco/pr-C1164277,58,"activia saveurs citron, vanille et coco, c'est un panache de recettes au bifidus et aux ferments du yaourt, a la texture ferme et fondante! ces activia saveurs vanille, citron et coco sont concus dans notre laiterie de bailleul      et contiennent du bon lait francais,   ferments dont des milliards de probiotiques   et sont sans aromes artificiels  ils sont ideals pour les fins de repas! ajout  de lait ecreme concentre ou en poudre  origine  ue   activia contient les ferments du yaourt   les probiotiques  ils vous aident a la digestion du lactose de votre activia en cas de difficulte a le digerer  ",na
10 ACTIVIA     Probiotiques Yaourt saveur ananas 4x125g,presence   lait,B,https://www.auchan.fr/activia-probiotiques-yaourt-saveur-ananas/pr-C1158027,59,"activia fruits ananas, c'est une recette oncteuse avec de vrais morceaux  ananas  cet activia contient des     d’origine naturelle, du bon lait entier francais, du bifidus et des milliards de ferments dont les probiotiques    un dessert concu dans notre laiterie de villecomtal sur arros     ! ajout de lait ecreme concentre ou en poudre  origine  ue   activia contient les ferments du yaourt   les probiotiques  ils vous aident a la digestion du lactose de votre activia en cas de difficulte a le digerer ",na
108 ANDROS     Panachés de spécialités sans sucres ajoutés 16x100g,na,na,https://www.auchan.fr/andros-panaches-de-specialites-sans-sucres-ajoutes/pr-C1170033,60,na,na
86 ANDROS     Spécialité pomme nature 16x100g,na,na,https://www.auchan.fr/andros-specialite-pomme-nature/pr-C1174628,61,na,na
19 ANDROS     Spécialité Pomme Nature et Pomme Fraise 12x100g,na,na,https://www.auchan.fr/andros-specialite-pomme-nature-et-pomme-fraise/pr-C1176988,62,na,na
14 DANETTE     Crème dessert caramel 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-caramel/pr-C1170749,63,"danette creme dessert caramel c'est de la creme et du bon lait francais  avec un bon gout de caramel et toujours la petite touche de bonne humeur qui va avec  fabriquee dans notre laiterie de saint just chaleyssin    , cette creme caramel a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
ALPRO     Yaourt à la grecque base coco saveur vanille 350g,"presence   sans produits laitiers, ni gluten  peut contenir des traces de soja ",na,https://www.auchan.fr/alpro-yaourt-a-la-grecque-base-coco-saveur-vanille/pr-C1514323,64,na,na
AUCHAN     Flan au caramel 12x100g,presence de   lait et produits a base de lait  y compris lactose ,C,https://www.auchan.fr/auchan-flan-au-caramel/pr-C1171348,65,na,na
AUCHAN     Flan au caramel 4x100g,presence de   lait et produits a base de lait  y compris lactose ,C,https://www.auchan.fr/auchan-flan-au-caramel/pr-C1171333,66,na,na
10 FLANBY     Flan nappé au caramel 12x100g,"lait,",na,https://www.auchan.fr/flanby-flan-nappe-au-caramel/pr-C1170263,67,na,na
11 FLANBY     Flan nappé au caramel 6x100g,"lait,",na,https://www.auchan.fr/flanby-flan-nappe-au-caramel/pr-C1170264,68,na,na
12 DANY     Flan chocolat 4x100g,"lait, soja",C,https://www.auchan.fr/dany-flan-chocolat/pr-C1169495,69,na,na
16 LES 2 VACHES     Flan vanille caramel bio 4x100g,presence   lait,C,https://www.auchan.fr/les-2-vaches-flan-vanille-caramel-bio/pr-C1176038,70, ,na
1 AUCHAN BIO     Flan au chocolat filière responsable 4x100g,presence de   lait et produits a base de lait  y compris lactose traces de   soja et produits a base de soja,C,https://www.auchan.fr/auchan-bio-flan-au-chocolat-filiere-responsable/pr-C1171434,71,na,na
LA LAITIERE     Crème 4 ingrédients au chocolat du Ghana 4x110g,lait,na,https://www.auchan.fr/la-laitiere-creme-4-ingredients-au-chocolat-du-ghana/pr-C1439797,72,na,na
4 DANETTE     Crème dessert chocolat saveur noisette 4x125g,"presence   lait, soja peut contenir   amande, noisette, ble, fruits a coques, noisette, oeufs",C,https://www.auchan.fr/danette-creme-dessert-chocolat-saveur-noisette/pr-C1170757,73,"danette creme dessert chocolat noisette c'est de la creme et du bon lait francais avec un bon gout de chocolat saveur noisette et toujours la petite touche de bonne humeur qui va avec  fabriquee dans notre laiterie de saint just chaleyssin    , cette creme chocolat noisette a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout!",na
4 DANETTE     Crème dessert saveur pistache 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-saveur-pistache/pr-C1170765,74,"danette creme dessert saveur pistache c'est de la creme et du bon lait francais  avec une delicieuse saveur de pistache et toujours la petite touche de bonne humeur qui va avec  fabriquee dans nos laiteries de saint just chaleyssin      et de bailleul    , cette creme saveur pistache a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
5 DANETTE     Crème dessert aux 3 chocolats 12x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-aux-3-chocolats/pr-C1170758,75,"danette creme dessert chocolat  classique, lait et saveur noisette  c'est de la creme et du bon lait francais  avec un bon gout de chocolat, de chocolat et lait et de chocolat saveur noisette  le tout avec toujours la petite touche de bonne humeur  fabriquee dans notre laiterie de saint just chaleyssin    , ces cremes chocolat a la texture onctueuse, sont ideales pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
LA LAITIERE     Pot de crème au café 4x100g,"lait, oeufs,",na,https://www.auchan.fr/la-laitiere-pot-de-creme-au-cafe/pr-C1171608,76,na,na
6 RIANS     Fondant au chocolat noir 2x110g,"lait,creme,beurre,oeuf,traces eventuelles de gluten dans le  fondant chocolat ",na,https://www.auchan.fr/rians-fondant-au-chocolat-noir/pr-C1175526,77,na,na
5 DANETTE     Crème dessert chocolat caramel vanille 12x115g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-chocolat-caramel-vanille/pr-C1170942,78,"danette cremes dessert chocolat, saveur vanille et caramel c'est de la creme et du bon lait francais  avec un bon gout de chocolat, de caramel et une saveur vanille  le tout avec toujours la petite touche de bonne humeur  fabriquee dans notre laiterie de saint just chaleyssin    , ces cremes chocolat, saveur vanille et caramel, a la texture onctueuse, sont ideales pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
DANETTE     Crème dessert café 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-cafe/pr-C1170756,79,"danette creme dessert cafe c'est de la creme et du bon lait francais  avec un bon gout de cafe et toujours la petite touche de bonne humeur qui va avec  fabriquee dans nos laiteries de saint just chaleyssin      et de bailleul    , cette creme cafe a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
7 DANETTE     Crème dessert chocolat 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-chocolat/pr-C1170753,80,"danette creme dessert chocolat c'est de la creme et du bon lait francais avec un bon gout de chocolat et toujours la petite touche de bonne humeur qui va avec  fabriquee dans nos laiteries de saint just chaleyssin      et de bailleul    , cette creme chocolat a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout!",na
11 DANETTE     Crème dessert chocolat noir extra 4x125g,"pr�sence   lait, soja",C,https://www.auchan.fr/danette-creme-dessert-chocolat-noir-extra/pr-C1170755,81,na,na
9 DANETTE     Crème dessert saveur vanille 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-saveur-vanille/pr-C1170764,82,"danette creme dessert saveur vanille c'est de la creme et du bon lait francais  avec une delicieuse saveur de vanille et toujours la petite touche de bonne humeur qui va avec  fabriquee dans nos laiteries de saint just chaleyssin      et de bailleul    , cette creme desssert vanille a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
6 DANETTE     Crème dessert vanille lit de chocolat 4x125g,"presence   lait, soja",C,https://www.auchan.fr/danette-creme-dessert-vanille-lit-de-chocolat/pr-C1170766,83,"danette creme dessert saveur vanille lit chocolat c'est de la creme et du bon lait francais  avec une delicieuse saveur de vanille sur un lit de chocolat et toujours la petite touche de bonne humeur qui va avec  fabriquee dans nos laiteries de saint just chaleyssin      et de bailleul    , cette creme dessert vanille lit chocolat a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
9 DANETTE     Crème dessert vanille lit caramel 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-vanille-lit-caramel/pr-C1170763,84,"danette creme dessert saveur vanille lit caramel c'est de la creme et du bon lait francais  avec une delicieuse saveur de vanille sur un lit de caramel et toujours la petite touche de bonne humeur qui va avec  fabriquee dans nos laiteries de saint just chaleyssin      et de bailleul    , cette creme dessert vanille lit caramel a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
10 LA LAITIERE     Petit pot de crème au café 4x100g,"lait, oeufs,",na,https://www.auchan.fr/la-laitiere-petit-pot-de-creme-au-cafe/pr-C1175319,85,na,na
LA LAITIERE     Crème craquante de chocolat fine feuilles de cacao 4x85g,lait,na,https://www.auchan.fr/la-laitiere-creme-craquante-de-chocolat-fine-feuilles-de-cacao/pr-C1478094,86,na,na
DANETTE     Crème dessert saveur madeleine 4x125g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-saveur-madeleine/pr-C1404843,87,"danette creme dessert saveur madeleine c'est de la creme et du bon lait francais avec une delicieuse saveur de madeleine et toujours la petite touche de bonne humeur qui va avec  fabriquee dans notre laiterie de saint just chaleyssin    , cette creme saveur madeleine a la texture onctueuse est ideale pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout!",na
DANETTE     Crème dessert vanille chocolat 16x115g,presence   lait,C,https://www.auchan.fr/danette-creme-dessert-vanille-chocolat/pr-C1171121,88,"danette cremes dessert chocolat et saveur vanille c'est de la creme et du bon lait francais  avec un bon gout de chocolat et une saveur vanille  le tout avec toujours la petite touche de bonne humeur  fabriquee dans notre laiterie de saint just chaleyssin    , ces cremes chocolat et saveur vanille, a la texture onctueuse, sont ideales pour un dessert gourmand en fin de repas  danette, c'est la creme dessert pour laquelle tout le monde est toujours debout! ajout de lait ecreme concentre ou en poudre  origine  ue ",na
2 SAINT AGUR     Fromage à pâte persillée 125g,lait,na,https://www.auchan.fr/saint-agur-fromage-a-pate-persillee/pr-C1186101,89,na,na
18 SAINT AGUR     Crème de fromage fondu au lait de vache 155g,lait,na,https://www.auchan.fr/saint-agur-creme-de-fromage-fondu-au-lait-de-vache/pr-C1182478,90,na,na
MONTS & TERROIRS      Emmental Français IGP grand cru Label Rouge 250g,lait,D,https://www.auchan.fr/monts-terroirs-emmental-francais-igp-grand-cru-label-rouge/pr-C1394684,91,na,na
29 PRESIDENT     Camembert au lait pasteurisé 250g,lait,na,https://www.auchan.fr/president-camembert-au-lait-pasteurise/pr-C1180565,92,na,na
LA MARCHESA     Mozzarella Bufala Campana AOP sachet 250g,lait de buflonne,na,https://www.auchan.fr/la-marchesa-mozzarella-bufala-campana-aop-sachet/pr-C1373084,93,na,na
FROMACOEUR     Billes de chèvres cœur de miel et truffes 90g,lait,na,https://www.auchan.fr/fromacoeur-billes-de-chevres-coeur-de-miel-et-truffes/pr-C1373026,94,na,na
FROMAGERIE CHABERT     Emmental râpé de Savoie IGP Filière Responsable 200g,lait et derives,na,https://www.auchan.fr/fromagerie-chabert-emmental-rape-de-savoie-igp-filiere-responsable/pr-C1352220,95,na,na
Parmigiano reggiano 24mois AOP 200g,na,na,https://www.auchan.fr/parmigiano-reggiano-24mois-aop/pr-C1447132,96,na,na
7 FROMAGE A LA COUPE     Plateau de fromage à raclette 720g,lait,na,https://www.auchan.fr/fromage-a-la-coupe-plateau-de-fromage-a-raclette/pr-C1350556,97,na,na
JEAN PERRIN     Assortiment raclette au lait cru nature moutarde et morbier 720g,"lait, moutarde",na,https://www.auchan.fr/jean-perrin-assortiment-raclette-au-lait-cru-nature-moutarde-et-morbier/pr-C1351794,98,na,na
JEAN PERRIN     Fromage à raclette au lait cru 360g,lait,na,https://www.auchan.fr/jean-perrin-fromage-a-raclette-au-lait-cru/pr-C1351793,99,na,na
